exercise_id,full_name,category,sub_muscles,muscle_ids,equipment
242,Assisted Close grip Underhand Chin up,Back,Middle Back,16,Assisted pull-up/dip machine
224,Assisted Pull Up,Back,Middle Back,16,Assisted pull-up/dip machine
255,Back Extension,Back,Lower Back,17,Roman chair / hyperextension bench
225,Barbell Bent Over Row,Back,Middle Back,16,Barbell
226,Barbell Deadlift,Back,Lower Back,17,Barbell
259,Barbell Incline Rear Delt Row,Back,Upper Back,15,Adjustable bench | Barbell
227,Barbell Incline Row,Back,Middle Back,16,Adjustable bench | Barbell
228,Barbell One Arm Bent Over Row,Back,Middle Back,16,Barbell
569,Barbell Pendlay Row,Back,Middle Back,16,Barbell
571,Barbell Pullover,Back,Middle Back,16,Adjustable bench | Barbell
564,Barbell Shrug,Back,Upper Back,15,Barbell
381,Barbell Straight Leg Deadlift (RDL),Back,Lower Back,17,Barbell
229,Cable Bar Lateral Pulldown,Back,Middle Back,16,Lat pulldown station
570,Cable Bent Over,Back,Middle Back,16,Single high/low pulley
572,Cable Bent Over Row with Rope,Back,Middle Back,16,Cable attachment: rope | Single high/low pulley
386,Cable Close Grip Front Lat Pulldown,Back,Middle Back,16,Cable attachment: V-bar / close-grip | Lat pulldown station
230,Cable Cross over Lateral Pulldown,Back,Middle Back,16,Lat pulldown station
579,Cable Deadlift,Back,Lower Back,17,Single high/low pulley
241,Cable Elevated Row,Back,Middle Back,16,Single high/low pulley
565,Cable High Row kneeling,Back,Upper Back,15,Single high/low pulley
243,Cable Incline Bench Row,Back,Middle Back,16,Adjustable bench | Single high/low pulley
231,Cable Incline Pushdown,Back,Middle Back,16,Adjustable bench | Single high/low pulley
258,Cable Kneeling Leaning Forward One Arm Row,Back,Middle Back,16,Cable attachment: single handle | Single high/low pulley
257,Cable Kneeling One Arm Lat Pulldown,Back,Middle Back,16,Cable attachment: single handle | Lat pulldown station
399,Cable Kneeling One Arm Row,Back,Middle Back,16,Cable attachment: single handle | Single high/low pulley
246,Cable Lat Pulldown,Back,Middle Back,16,Lat pulldown station
391,Cable Lat Pulldown Full Range Of Motion,Back,Middle Back,16,Lat pulldown station
392,Cable Lateral Pulldown with V bar,Back,Middle Back,16,Cable attachment: V-bar / close-grip | Lat pulldown station
254,Cable Low Row - Rope,Back,Middle Back,16,Cable attachment: rope | Single high/low pulley
383,Cable Low Seated Row,Back,Middle Back,16,Seated cable row station
384,Cable One Arm Bent over Row,Back,Upper Back,15,Cable attachment: single handle | Single high/low pulley
250,Cable Rear Delt Row,Back,Upper Back,15,Single high/low pulley
397,Cable Reverse Grip Pulldown,Back,Middle Back,16,Lat pulldown station
252,Cable Seated Rear Delt Fly - Chest Support,Back,Upper Back,15,Chest-supported row bench | Dual adjustable pulley / cable crossover
567,Cable Seated Row,Back,Middle Back,16,Seated cable row station
247,Cable Seated Row - V bar,Back,Middle Back,16,Cable attachment: V-bar / close-grip | Seated cable row station
385,Cable Seated Wide grip Row,Back,Middle Back,16,Seated cable row station
632,Cable Split Stance Single Arm Row,Back,Middle Back | Upper Back,16 | 15,Cable attachment: single handle | Single high/low pulley
398,Cable Standing Close Grip Row,Back,Middle Back,16,Cable attachment: V-bar / close-grip | Single high/low pulley
401,Cable Straight Arm Pulldown,Back,Middle Back,16,Cable attachment: straight bar | Lat pulldown station
566,Cable Straight Arm Pulldown,Back,Middle Back,16,Cable attachment: straight bar | Lat pulldown station
568,Cable Upper Row,Back,Upper Back,15,Single high/low pulley
244,Cable Wide Grip Behind Neck Pulldown,Back,Middle Back,16,Lat pulldown station
395,Cable Wide Neutral Grip Pull Down,Back,Middle Back,16,Single high/low pulley
232,Cable Wide Pulldown,Back,Middle Back,16,Lat pulldown station
249,Dumbbell Bent Over Reverse Row,Back,Middle Back,16,Dumbbells
394,Dumbbell Bent Over Reverse Row,Back,Middle Back,16,Dumbbells
233,Dumbbell Bent over Row,Back,Middle Back,16,Dumbbells
400,Dumbbell Bent Over Row with Chest Support,Back,Middle Back,16,Chest-supported row bench | Dumbbells
578,Dumbbell Deadlift,Back,Lower Back,17,Dumbbells
576,Dumbbell Deadlift (neutral grip),Back,Lower Back,17,Dumbbells
234,Dumbbell Incline Row,Back,Upper Back,15,Adjustable bench | Dumbbells
245,Dumbbell Lying Rear Delt Row,Back,Middle Back,16,Dumbbells | Adjustable bench
235,Dumbbell Rear Fly,Back,Upper Back,15,Dumbbells
237,Dumbbell Rear Lateral Raise,Back,Upper Back,15,Dumbbells
575,Dumbbell Standing Scapular External Rotation,Back,Upper Back,15,Dumbbells
388,EZ Bar Reverse Grip Bent Over Row,Back,Middle Back,16,EZ-curl bar
390,Hammer Grip Pull up on Dip Cage,Back,Middle Back,16,Dip bars / parallel bars | Pull-up bar
577,Kettlebell deadlift,Back,Lower Back,17,Kettlebells
239,Lever Back Extension,Back,Lower Back,17,Back-extension machine
393,Lever Bent over Row with V bar,Back,Middle Back,16,V-bar | Barbell | Weight plates
630,Lever Bent Over Single Arm Wide Grip,Back,Upper Back,15,Bent Over Wide Grip Row Lever
629,Lever Bent Over Wide Grip Row,Back,Upper Back,15,Bent Over Wide Grip Row Lever
256,Lever Bent over Wide Row,Back,Middle Back,16,Straight bar | Barbell | Weight plates
616,Lever Cable Rear Pulldown,Back,Upper Back | Middle Back,15 | 16,Lat pulldown station | Lat pulldown machine (plate-loaded)
631,Lever Cross Lat Pulldown,Back,Upper Back | Middle Back,15 | 16,Lat pulldown machine (plate-loaded)
601,Lever Front Pulldown,Back,Middle Back,16,Lat pulldown machine (plate-loaded)
615,Lever Gripless Shrug,Back,Upper Back,15,Shrug machine
240,Lever High Row,Back,Middle Back,16,High row machine
617,Lever Lateral Pulldown,Back,Upper Back | Middle Back,15 | 16,Lat pulldown machine (plate-loaded)
621,Lever Lateral Wide Pulldown,Back,Middle Back,16,Lat pulldown machine (plate-loaded)
624,Lever Low Row,Back,Middle Back | Upper Back,16 | 15,Low row machine
623,Lever Lying Banded T bar,Back,Middle Back | Upper Back,16 | 15,T-bar row machine
605,Lever Lying T bar Row,Back,Upper Back | Middle Back,15 | 16,T-bar row machine
602,Lever Neutral Grip Seated Row,Back,Middle Back | Upper Back,16 | 15,Seated row machine
614,Lever One Arm Lateral High,Back,Middle Back | Upper Back,16 | 15,Lateral High Lever
609,Lever One Arm Lateral Wide Pulldown,Back,Middle Back,16,Lat pulldown machine (plate-loaded)
625,Lever One Arm Low Row,Back,Middle Back | Upper Back,16 | 15,Low row machine
607,Lever One Arm Seated Row,Back,Upper Back | Middle Back,15 | 16,Seated row machine
627,Lever Pronated Grip Seated Row,Back,Middle Back | Upper Back,16 | 15,Seated row machine
628,Lever Pronated Grip Seated Scapular,Back,Upper Back,15,Pronated Grip Seated Scapular Lever
619,Lever Pullove,Back,Middle Back,16,Pullover machine
610,Lever Reverse Grip,Back,Middle Back | Upper Back,16 | 15,Reverse Grip Lever
626,Lever Reverse Grip High Row,Back,Middle Back | Upper Back,16 | 15,High row machine
622,Lever Reverse grip Lateral Pulldown,Back,Middle Back,16,Lat pulldown machine (plate-loaded)
611,Lever Reverse T Bar Row,Back,Middle Back | Upper Back,16 | 15,T-bar row machine
248,Lever Seated Row,Back,Middle Back,16,Seated row machine
612,Lever Seated Row,Back,Middle Back | Upper Back,16 | 15,Seated row machine
618,Lever Seated Row,Back,Upper Back | Middle Back,15 | 16,Seated row machine
620,Lever Seated Row,Back,Middle Back | Upper Back,16 | 15,Seated row machine
603,Lever Shrug,Back,Upper Back,15,Shrug machine
606,Lever Shrug,Back,Upper Back,15,Shrug machine
600,Lever Single Arm Neutral Grip Seated Row,Back,Middle Back,16,Seated row machine
613,Lever T Bar Reverse Grip Row,Back,Middle Back | Upper Back,16 | 15,T-bar row machine
604,Lever T bar Row,Back,Upper Back | Middle Back,15 | 16,T-bar row machine
608,Lever Unilateral Row,Back,Upper Back | Middle Back,15 | 16,Unilateral Row Lever
389,Smith Bent Over Pronated Grip Row,Back,Middle Back,16,Smith machine
61,Barbell Curl,Biceps,Short Head | Long Head,6 | 7,Barbell
62,Barbell Lying Preacher Curl,Biceps,Long Head,7,Barbell | Preacher curl bench
63,Barbell Prone Incline Curl,Biceps,Long Head,7,Adjustable bench | Barbell | Chest-supported row bench
66,Barbell Seated Close grip Concentration Curl,Biceps,Short Head,6,Barbell
89,Barbell Standing Concentration Curl,Biceps,Long Head,7,Barbell
76,Cable Biceps Curl - SZ bar,Biceps,Short Head,6,Cable attachment: EZ/SZ bar | Single high/low pulley
77,Cable Concentration Curl,Biceps,Short Head,6,Single high/low pulley
74,Cable Curl,Biceps,Short Head,6,Single high/low pulley
